TARGET,AMOUNT GRANTED,LOAN OUTSTANDING,CYCLE,AGE,GENDER,DEPENDANTS,HOME YEARS,BUS YEARS,CASHFLOW,COLLATERAL,CF TO LOAN,MOP_PDC,MOP_WALK-IN,MARITAL STATUS,COLL TO LOAN
1.0,162822.85,157454.34,3.0,55.0,0,3.0,28.0,10.0,452051.74,100000.0,2.78,1,0,0,0.6141644124273712
1.0,60000.0,50908.23,2.0,31.0,1,1.0,4.0,7.0,126535.9,44000.0,2.11,0,1,1,0.7333333333333333
1.0,130000.0,105993.21,5.0,38.0,1,3.0,10.0,9.0,805212.61,140000.0,6.19,1,0,1,1.0769230769230769
1.0,80000.0,67935.71,3.0,51.0,0,2.0,50.0,11.0,266085.69,50000.0,3.33,1,0,1,0.625
1.0,100000.0,35946.71,2.0,39.0,0,4.0,9.0,3.0,504232.82,190000.0,5.04,1,0,1,1.9
0.0,50000.0,38179.44,2.0,44.0,0,0.0,5.0,3.0,117201.67,70325.0,2.34,1,0,0,1.4065
1.0,120000.0,74680.09,4.0,53.0,0,2.0,21.0,21.0,307407.65,30000.0,2.56,0,1,0,0.25
0.0,120000.0,32543.33,3.0,48.0,0,2.0,25.0,2.0,318260.95,50000.0,2.65,0,1,1,0.4166666666666667
1.0,150000.0,114572.56,7.0,44.0,0,0.0,23.0,11.0,293927.46,70325.0,1.96,0,1,0,0.4688333333333333
1.0,150000.0,93350.12,6.0,48.0,0,3.0,20.0,20.0,314432.66,90000.0,2.1,1,0,1,0.6
1.0,300000.0,231178.52,23.0,60.0,0,2.0,8.0,7.0,567420.78,318000.0,1.89,1,0,1,1.06
1.0,100000.0,62233.41,15.0,52.0,1,3.0,11.0,5.0,242022.96,225000.0,2.42,0,1,1,2.25
1.0,80000.0,25261.92,18.0,45.0,0,3.0,12.0,8.0,116880.65,70325.0,1.46,0,1,1,0.8790625
1.0,100000.0,35972.26,3.0,35.0,1,2.0,19.0,9.0,328727.07,72650.0,3.29,1,0,1,0.7265
1.0,150000.0,51968.0,3.0,59.0,0,2.0,30.0,16.0,386364.01,100000.0,2.58,0,1,1,0.6666666666666666
1.0,40000.0,17219.65,32.0,58.0,0,0.0,12.0,6.0,110285.42,32000.0,2.76,0,1,0,0.8
0.0,120000.0,8082.76,2.0,43.0,0,0.0,6.0,6.0,273254.65,105416.67,2.28,1,0,0,0.87847225
1.0,120000.0,120000.0,9.0,38.0,0,2.0,12.0,12.0,165358.11,50000.0,1.38,1,0,1,0.4166666666666667
1.0,50000.0,33952.57,7.0,39.0,0,3.0,15.0,5.0,125017.29,80000.0,2.5,0,1,0,1.6
1.0,150000.0,78525.98,4.0,44.0,0,2.0,14.0,15.0,326379.96,223000.0,2.18,1,0,1,1.4866666666666666
1.0,50000.0,46043.18,4.0,50.0,0,3.0,30.0,14.0,65913.95,70325.0,1.32,0,1,0,1.4065
1.0,300000.0,155864.24,12.0,58.0,0,2.0,25.0,3.0,415165.51,300000.0,1.38,1,0,1,1.0
1.0,100000.0,69127.71,2.0,36.0,0,0.0,14.0,14.0,512472.17,252000.0,5.12,0,1,0,2.52
1.0,120000.0,82953.3,4.0,40.0,1,3.0,14.0,15.0,251499.51,100000.0,2.1,0,1,0,0.8333333333333334
1.0,100000.0,51880.51,21.0,56.0,0,4.0,54.0,12.0,153793.02,32000.0,1.54,0,1,1,0.32
